Micro-Category	2028 FEI CAGR (Average)	2028 FEI Engagement (Sum) (Millions)
Exotic Fruit Drinks	N/A	0
Chef-Curated Drinks	N/A	0
City-Inspired Drinks	N/A	0
Indian Festival Drinks	21.20%	219.3
Summer Fruit Drops	13.70%	120.7933
Winter Dessert Drinks	N/A	0
IPL / Event Editions	N/A	0
Calm Dessert Drinks	N/A	0
Glow Dessert Drinks	N/A	0
Relax Dessert Drinks	N/A	0
Happy Boost Drinks	N/A	0
Protein Dessert Drinks	N/A	0
Fibre Dessert Drinks	N/A	0
Low-Sugar Dessert Drinks	N/A	0
Adaptogen Dessert Drinks	N/A	0
Slow-Caffeine Sparkling Hydration	N/A	0
Electrolyte Sparkling Hydration	N/A	0
Adaptogen Refresh Drinks	N/A	0
Long-Energy Hydration RTDs	N/A	0
Daily Electrolyte Drinks	N/A	0
Electrolyte Sparkling Waters	78.80%	363.5
Heat-Commute Hydration Drinks	N/A	0
Mild Fatigue Recovery Drinks	29.48%	116.28148
Gaming Focus Drinks	N/A	0
Screen-Session Hydration Drinks	N/A	0
Night-Gaming Refresh Drinks	N/A	0
Quick Reaction Shots	N/A	0
Study-Mode Focus Drinks	N/A	0
Midday Slump Reset Drinks	N/A	0
Calm-Focus Refresh Drinks	N/A	0
Long-Study Hydration Drinks	N/A	0
Travel Fatigue Recovery Drinks	N/A	0
Digestive Recovery Refresh Drinks	N/A	0
Immune Boost Refresh Drinks	N/A	0
Hotel Mini-Bar Recovery Drinks	N/A	0
High-Salt Heat Recovery Drinks	11.43%	130.4979
Botanical Cooling Drinks	N/A	0
Outdoor Worker Hydration Drinks	13.00%	111.8726
Kids Heat Protection Drinks	N/A	0
Morning-After Hydration Drinks	N/A	0
Late-Night Recovery Drinks	N/A	0
Detox-Reset Refresh Drinks	76.00%	138.3349
Sleep-Friendly Refresh Drinks	N/A	0
Light Caffeine Electrolyte Drinks	67.00%	60.0872
Warm-to-Cold Transition Fuel	39.72%	186.64831
Hydration + Alertness Drinks	N/A	0
Habit Ignition Minis	67.10%	616.5674
Low-Sugar Energy Lemonades	94.01%	876.8027
Quick Alertness Shots	N/A	0
Desk Reset Drinks	12.52%	442.2159
Commute Push Drinks	N/A	0
Pre-Workout Lite Fuel Drinks	181.66%	369.34763
Exam-Prep Fuel Drinks	N/A	0
Meeting-Prep Fuel Drinks	43.00%	283.498
Hybrid Protein-Energy Drinks	N/A	0
Slow-Energy Tea Drinks	N/A	0
Adaptogen Tea Fuels	N/A	0
Calm-Energy Tea Drinks	-3.40%	173.4454
Long-Study Tea Drinks	14.50%	237.9032
Protein Hydration Fuels	N/A	0
Protein + Electrolyte Fuels	23.00%	82.77
Meal-Lite Fuel Drinks	47.84%	143.16338
Long-Workday Fuel Drinks	N/A	0
Calm-Energy Hydration Drinks	N/A	0
Stress-Resilience Fuel Drinks	N/A	0
Long-Commute Fuel Drinks	N/A	0
Stability Fuel Drinks	82.00%	327.4513
Study Focus Drinks	N/A	0
Creative Flow Drinks	N/A	0
Calm-Focus Drinks	30.35%	59.9212
Long-Session Drinks	N/A	0
Light Adaptogen Sodas	N/A	0
Calm-Alertness Drinks	N/A	0
Creative Reboot Drinks	86.00%	136.28991
Sleep-Safe Focus Drinks	N/A	0
